Threads, Nodes, Volume, MegaHeightsPerSecond
1, 4,     3.53,     8.39
1, 16,     6.19,     7.72
1, 32,     6.39,     7.42
1, 64,     6.45,     7.01
1, 256,     6.48,     8.26
1, 1024,     6.49,     8.14
2, 4,     3.53,     8.39
2, 16,     6.19,     4.01
2, 32,     6.39,    14.66
2, 64,     6.45,    14.22
2, 256,     6.48,    16.48
2, 1024,     6.48,    16.16
4, 4,     3.53,     0.54
4, 16,     6.19,     7.30
4, 32,     6.39,    10.98
4, 64,     6.45,    13.47
4, 256,     6.48,    25.86
4, 1024,     6.48,    24.27
8, 4,     3.53,     0.37
8, 16,     6.19,     3.99
8, 32,     6.39,    11.01
8, 64,     6.45,    15.06
8, 256,     6.48,    25.55
8, 1024,     6.48,    25.08
